run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.std,metrics.mdt,metrics.med_dt,params.pred_hor,params.n_aug,params.by_metric,params.n_dev,params.max_noise_temperature,params.model_class,params.add_noise_temperature,tags.mlflow.source.type,tags.mlflow.runName,tags.mlflow.source.name,tags.mlflow.user
5f7f6259d9a44f9a9ab905189088452c,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/5f7f6259d9a44f9a9ab905189088452c/artifacts,2024-07-13 04:26:26.124000+00:00,2024-07-13 04:30:05.305000+00:00,38.74458281082759,33.178221358320044,21.0,1,1,metrics.mdt,63,5,XGBRegressor,True,LOCAL,2024-07-13T06:26:26,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
d9b9366381194186a3ffead20cf10eed,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/d9b9366381194186a3ffead20cf10eed/artifacts,2024-07-13 04:22:42.268000+00:00,2024-07-13 04:26:26.027000+00:00,41.11376755077635,36.57922567532127,21.375,1,1,metrics.mdt,63,0,XGBRegressor,True,LOCAL,2024-07-13T06:22:42,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
97f3eeb2e91342d696af0d4a6a8f8ff4,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/97f3eeb2e91342d696af0d4a6a8f8ff4/artifacts,2024-07-13 04:19:31.133000+00:00,2024-07-13 04:22:42.174000+00:00,46.68892642579328,43.50810057888572,27.0,1,1,metrics.mdt,63,5,DecisionTreeRegressor,True,LOCAL,2024-07-13T06:19:31,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
a3f2602626c74104a0e973ba1025dcbc,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/a3f2602626c74104a0e973ba1025dcbc/artifacts,2024-07-13 04:16:16.757000+00:00,2024-07-13 04:19:31.040000+00:00,49.05221481791666,40.37193014872732,23.25,1,1,metrics.mdt,63,0,DecisionTreeRegressor,True,LOCAL,2024-07-13T06:16:16,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
1b61af5400c940e4bc6b05b327b3554a,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/1b61af5400c940e4bc6b05b327b3554a/artifacts,2024-07-13 04:13:03.207000+00:00,2024-07-13 04:16:16.666000+00:00,42.57348233510467,40.265388941741755,23.25,1,1,metrics.mdt,63,5,LinearRegression,True,LOCAL,2024-07-13T06:13:03,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
bf9b5903a32349e5b1fb5b76a85eabef,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/bf9b5903a32349e5b1fb5b76a85eabef/artifacts,2024-07-13 04:09:52.869000+00:00,2024-07-13 04:13:03.114000+00:00,43.96314248604269,39.57686780507504,21.625,1,1,metrics.mdt,63,0,LinearRegression,True,LOCAL,2024-07-13T06:09:52,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
e8670a7f2f8e417484598826fc0ede25,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/e8670a7f2f8e417484598826fc0ede25/artifacts,2024-07-13 04:06:10.446000+00:00,2024-07-13 04:09:52.780000+00:00,40.87594309337912,36.176890166028095,22.0,1,1,metrics.mdt,63,5,XGBRegressor,True,LOCAL,2024-07-13T06:06:10,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
4a5849f5d12f4b44ac1b56d0cac43b78,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/4a5849f5d12f4b44ac1b56d0cac43b78/artifacts,2024-07-13 04:02:31.736000+00:00,2024-07-13 04:06:10.358000+00:00,46.093448390752705,35.83857454318937,19.625,1,1,metrics.mdt,63,0,XGBRegressor,True,LOCAL,2024-07-13T06:02:31,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
b8ef000e08364c9ca84a7ae27a7b81c6,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/b8ef000e08364c9ca84a7ae27a7b81c6/artifacts,2024-07-13 03:59:20.212000+00:00,2024-07-13 04:02:31.651000+00:00,45.20335711877996,40.15080450784965,22.875,1,1,metrics.mdt,63,5,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:59:20,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
c7a88565fdb249a0b2fc297de871dc71,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/c7a88565fdb249a0b2fc297de871dc71/artifacts,2024-07-13 03:56:05.951000+00:00,2024-07-13 03:59:20.124000+00:00,44.79924898309817,41.20805583305584,25.125,1,1,metrics.mdt,63,0,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:56:05,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
9e629789771740ac97b7fdcc832ed977,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/9e629789771740ac97b7fdcc832ed977/artifacts,2024-07-13 03:52:48.696000+00:00,2024-07-13 03:56:05.859000+00:00,42.89551472779042,41.121064814814815,23.75,1,1,metrics.mdt,63,5,LinearRegression,True,LOCAL,2024-07-13T05:52:48,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
88eca7df2c064b5297e9c107f1bb8afb,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/88eca7df2c064b5297e9c107f1bb8afb/artifacts,2024-07-13 03:49:37.684000+00:00,2024-07-13 03:52:48.600000+00:00,42.84904208039404,39.85426841676842,23.875,1,1,metrics.mdt,63,0,LinearRegression,True,LOCAL,2024-07-13T05:49:37,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
acccb196eefb4a2b84682fd51edcead0,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/acccb196eefb4a2b84682fd51edcead0/artifacts,2024-07-13 03:45:50.488000+00:00,2024-07-13 03:49:37.597000+00:00,43.05198497259987,37.50393475572047,21.625,1,1,metrics.mdt,63,5,XGBRegressor,True,LOCAL,2024-07-13T05:45:50,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
a9d75acbc875471783cfbc8ba46f4310,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/a9d75acbc875471783cfbc8ba46f4310/artifacts,2024-07-13 03:42:10.178000+00:00,2024-07-13 03:45:50.392000+00:00,41.55002309357787,35.16396433850702,21.75,1,1,metrics.mdt,63,0,XGBRegressor,True,LOCAL,2024-07-13T05:42:10,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
37a227d0bffd42c3b128d2c4fa48616d,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/37a227d0bffd42c3b128d2c4fa48616d/artifacts,2024-07-13 03:38:58.440000+00:00,2024-07-13 03:42:10.085000+00:00,46.10886364079724,39.964397141706925,23.125,1,1,metrics.mdt,63,5,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:38:58,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
f3faa356499e488b8be1208296f3e36c,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/f3faa356499e488b8be1208296f3e36c/artifacts,2024-07-13 03:35:47.052000+00:00,2024-07-13 03:38:58.353000+00:00,48.17945846616056,42.530740057650966,25.25,1,1,metrics.mdt,63,0,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:35:47,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
a1e4a01ba2e74ac58bb57432cc9b40bf,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/a1e4a01ba2e74ac58bb57432cc9b40bf/artifacts,2024-07-13 03:32:33.367000+00:00,2024-07-13 03:35:46.956000+00:00,43.688448237705025,40.677325541774564,23.625,1,1,metrics.mdt,63,5,LinearRegression,True,LOCAL,2024-07-13T05:32:33,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
cfc8f93aba2045f190f0b59d355eff6b,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/cfc8f93aba2045f190f0b59d355eff6b/artifacts,2024-07-13 03:29:21.704000+00:00,2024-07-13 03:32:33.279000+00:00,42.01673376111085,40.38803231652069,25.125,1,1,metrics.mdt,63,0,LinearRegression,True,LOCAL,2024-07-13T05:29:21,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
efb596d9230a406392eeef2678d73232,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/efb596d9230a406392eeef2678d73232/artifacts,2024-07-13 03:25:42.009000+00:00,2024-07-13 03:29:21.605000+00:00,39.10426438897323,33.32563663693317,20.25,1,1,metrics.mdt,63,5,XGBRegressor,True,LOCAL,2024-07-13T05:25:42,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
5fddbdf0b587458c921a9fa848c8e3ef,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/5fddbdf0b587458c921a9fa848c8e3ef/artifacts,2024-07-13 03:21:57.654000+00:00,2024-07-13 03:25:41.921000+00:00,37.45281280050318,32.826409996622765,19.125,1,1,metrics.mdt,63,0,XGBRegressor,True,LOCAL,2024-07-13T05:21:57,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
141e0928b01d4ae6bfdaa43af52ca134,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/141e0928b01d4ae6bfdaa43af52ca134/artifacts,2024-07-13 03:18:15.732000+00:00,2024-07-13 03:21:57.551000+00:00,46.6356410376018,39.09875165343915,23.25,1,1,metrics.mdt,63,5,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:18:15,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
14a6eb1f57324d0d9d9894385303926c,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/14a6eb1f57324d0d9d9894385303926c/artifacts,2024-07-13 03:14:32.553000+00:00,2024-07-13 03:18:15.631000+00:00,45.986437584471524,42.22023468552724,26.5,1,1,metrics.mdt,63,0,DecisionTreeRegressor,True,LOCAL,2024-07-13T05:14:32,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
d3921c9d9ea0480bb578a817924a2e95,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/d3921c9d9ea0480bb578a817924a2e95/artifacts,2024-07-13 03:10:53.574000+00:00,2024-07-13 03:14:32.452000+00:00,44.05139709325572,40.144738745553965,22.875,1,1,metrics.mdt,63,5,LinearRegression,True,LOCAL,2024-07-13T05:10:53,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
8b8c13fc7ea447d6969f06fab0540473,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/8b8c13fc7ea447d6969f06fab0540473/artifacts,2024-07-13 03:07:08.109000+00:00,2024-07-13 03:10:53.474000+00:00,43.25000727545587,40.77116455886781,23.0,1,1,metrics.mdt,63,0,LinearRegression,True,LOCAL,2024-07-13T05:07:08,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
96dc17a477ac433696ab699f7db01cea,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/96dc17a477ac433696ab699f7db01cea/artifacts,2024-07-13 02:55:41.563000+00:00,2024-07-13 03:07:08.007000+00:00,44.98871529216832,37.310090702947846,22.375,1,1,metrics.mdt,63,5,XGBRegressor,True,LOCAL,2024-07-13T04:55:41,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
89fdd37dfa64418993d3f037c16c3854,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/89fdd37dfa64418993d3f037c16c3854/artifacts,2024-07-13 02:45:06.765000+00:00,2024-07-13 02:55:41.462000+00:00,38.7198477595518,35.58075998075998,21.625,1,1,metrics.mdt,63,0,XGBRegressor,True,LOCAL,2024-07-13T04:45:06,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
49855c04a8944c9c879226de7d5fca2a,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/49855c04a8944c9c879226de7d5fca2a/artifacts,2024-07-13 02:41:22.425000+00:00,2024-07-13 02:45:06.661000+00:00,48.87579712910847,41.14804871841883,23.875,1,1,metrics.mdt,63,5,DecisionTreeRegressor,True,LOCAL,2024-07-13T04:41:22,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
2072327fa26549859eee1725a4d3c768,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/2072327fa26549859eee1725a4d3c768/artifacts,2024-07-13 02:37:39.188000+00:00,2024-07-13 02:41:22.323000+00:00,45.311924580433605,40.29366208755955,24.375,1,1,metrics.mdt,63,0,DecisionTreeRegressor,True,LOCAL,2024-07-13T04:37:39,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
1fc56e6d684b4658b59397329192f244,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/1fc56e6d684b4658b59397329192f244/artifacts,2024-07-13 02:34:04.935000+00:00,2024-07-13 02:37:39.090000+00:00,41.95191509514518,39.95988502238502,24.5,1,1,metrics.mdt,63,5,LinearRegression,True,LOCAL,2024-07-13T04:34:04,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
6ccf45167285412692cab09ffc693c8b,809829503745210599,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/809829503745210599/6ccf45167285412692cab09ffc693c8b/artifacts,2024-07-13 02:30:25.404000+00:00,2024-07-13 02:34:04.834000+00:00,42.730053236122494,42.69209416863672,28.75,1,1,metrics.mdt,63,0,LinearRegression,True,LOCAL,2024-07-13T04:30:25,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py,nkuechen
