run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.c_index_ipcw,metrics.ibs,params.max_noise_temperature,params.n_aug,params.n_dev,params.model_class,params.add_noise_temperature,params.by_metric,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.runName,tags.mlflow.source.name
7a0dd7a3b94447da93c8103323b88875,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/7a0dd7a3b94447da93c8103323b88875/artifacts,2024-07-13 00:00:05.321000+00:00,2024-07-13 00:03:51.772000+00:00,0.9205244896167558,0.11024363875526816,5,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T02:00:05,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
e8ff589c51aa49d09401f199cefe4d5f,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/e8ff589c51aa49d09401f199cefe4d5f/artifacts,2024-07-12 23:56:13.979000+00:00,2024-07-13 00:00:05.167000+00:00,0.8893882376947645,0.11794266665230345,0,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:56:13,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
e21c8529a63549eabf576efb3e19af04,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/e21c8529a63549eabf576efb3e19af04/artifacts,2024-07-12 23:52:24.958000+00:00,2024-07-12 23:56:13.862000+00:00,0.9251955181290943,0.09475688465826647,5,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:52:24,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
d7b9d559abe943f5b27990aefd128364,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/d7b9d559abe943f5b27990aefd128364/artifacts,2024-07-12 23:48:34.648000+00:00,2024-07-12 23:52:24.839000+00:00,0.9015923823591001,0.10542735628123248,0,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:48:34,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
43f0c193b97e4b2cad52b5e279df49a7,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/43f0c193b97e4b2cad52b5e279df49a7/artifacts,2024-07-12 23:44:42.225000+00:00,2024-07-12 23:48:34.520000+00:00,0.8624649202384931,0.12762215001700755,5,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:44:42,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
7a7e8979331c4ea5b2c86130d48651b1,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/7a7e8979331c4ea5b2c86130d48651b1/artifacts,2024-07-12 23:40:50.301000+00:00,2024-07-12 23:44:42.094000+00:00,0.8711413143965167,0.10604420305957124,0,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:40:50,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
3312267993774d36a7410871a142b8c9,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/3312267993774d36a7410871a142b8c9/artifacts,2024-07-12 23:37:12.012000+00:00,2024-07-12 23:40:50.179000+00:00,0.9367696739086326,0.10438016215202554,5,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:37:12,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
a1655e7c6f0140f29d1047c4343d60e6,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/a1655e7c6f0140f29d1047c4343d60e6/artifacts,2024-07-12 23:33:36.458000+00:00,2024-07-12 23:37:11.893000+00:00,0.867574275542697,0.12447440277590054,0,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:33:36,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
60a859e1499442d583a3cec44e82f21f,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/60a859e1499442d583a3cec44e82f21f/artifacts,2024-07-12 23:29:54.350000+00:00,2024-07-12 23:33:36.335000+00:00,0.8672459228065669,0.11759342371393361,5,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:29:54,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
5c743cb8a907438793ea1082ab449a41,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/5c743cb8a907438793ea1082ab449a41/artifacts,2024-07-12 23:26:14.110000+00:00,2024-07-12 23:29:54.231000+00:00,0.9031954637172714,0.11922228499730236,0,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:26:14,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
6864f8c0cc6e4d5dba12f36973992f79,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/6864f8c0cc6e4d5dba12f36973992f79/artifacts,2024-07-12 23:22:36.271000+00:00,2024-07-12 23:26:13.997000+00:00,0.899799762913932,0.1331560295776693,5,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:22:36,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
01c379019e8245fa9ea09ec5032a8520,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/01c379019e8245fa9ea09ec5032a8520/artifacts,2024-07-12 23:18:57.112000+00:00,2024-07-12 23:22:36.150000+00:00,0.8768242611286103,0.1216399766363587,0,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:18:57,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
e2dd4fc37e3a4befb4156e2aeb4ce636,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/e2dd4fc37e3a4befb4156e2aeb4ce636/artifacts,2024-07-12 23:15:17.425000+00:00,2024-07-12 23:18:56.999000+00:00,0.9141105921259313,0.10123781513876473,5,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:15:17,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
23c753be91ee4e399e94133bb3931977,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/23c753be91ee4e399e94133bb3931977/artifacts,2024-07-12 23:11:28.059000+00:00,2024-07-12 23:15:17.310000+00:00,0.9290855907693207,0.10511822608025209,0,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:11:28,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
44c47b8a4c824bc8921d3228717c16c7,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/44c47b8a4c824bc8921d3228717c16c7/artifacts,2024-07-12 23:07:36.836000+00:00,2024-07-12 23:11:27.925000+00:00,0.9299605061110048,0.12806133829961408,5,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:07:36,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
04056328aef44c879557e61c945fd250,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/04056328aef44c879557e61c945fd250/artifacts,2024-07-12 23:03:45.387000+00:00,2024-07-12 23:07:36.713000+00:00,0.8876060479597238,0.12288879893874578,0,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T01:03:45,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
adab0ce9fa28498db4a863769ea8bb98,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/adab0ce9fa28498db4a863769ea8bb98/artifacts,2024-07-12 22:59:51.924000+00:00,2024-07-12 23:03:45.264000+00:00,0.8479308917170572,0.13643697719538944,5,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T00:59:51,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
066be8fd000444e891a498e1f43673bf,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/066be8fd000444e891a498e1f43673bf/artifacts,2024-07-12 22:55:59.534000+00:00,2024-07-12 22:59:51.803000+00:00,0.9113161720702494,0.10764182426351923,0,1,63,RandomSurvivalForest,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T00:55:59,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
a882c36ad88a4176913d180a09c9a114,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/a882c36ad88a4176913d180a09c9a114/artifacts,2024-07-12 22:52:08.926000+00:00,2024-07-12 22:55:59.407000+00:00,0.8976482611381205,0.10134498039266551,5,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T00:52:08,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
a85f5c5a20e3453e9317a12c3191bb60,374792384496278134,FINISHED,/home/nkuechen/Documents/Thesis/mlruns/374792384496278134/a85f5c5a20e3453e9317a12c3191bb60/artifacts,2024-07-12 22:48:19.236000+00:00,2024-07-12 22:52:08.810000+00:00,0.9406904735821352,0.12510021917103173,0,1,63,CoxPHFitter,True,metrics.c_index_ipcw,LOCAL,nkuechen,2024-07-13T00:48:19,/home/nkuechen/miniconda3/envs/ba_niklas/lib/python3.11/site-packages/ipykernel_launcher.py
